SeqID,Ini_Species,TaxID,mol_type,length,Ini_sciname,kew_id,family,genus,species,infraspecies,sci_name,rank,taxonomic_status
KP214525.1,Maianthemum dilatatum,34193,genomic DNA,565,Maianthemum dilatatum,149429-2,Asparagaceae,Maianthemum,dilatatum,,Maianthemum dilatatum,SPECIES,Accepted
KP218929.1,Ajuga bracteosa,1585251,genomic DNA,363,Ajuga bracteosa,444595-1,Lamiaceae,Ajuga,integrifolia,,Ajuga integrifolia,SPECIES,Synonym
KP218936.1,Mentha suaveolens,38860,genomic DNA,405,Mentha suaveolens,451188-1,Lamiaceae,Mentha,suaveolens,,Mentha suaveolens,SPECIES,Accepted
KP218937.1,Mentha spicata,29719,genomic DNA,396,Mentha spicata,451162-1,Lamiaceae,Mentha,spicata,,Mentha spicata,SPECIES,Accepted
KP218939.1,Ocimum basilicum,39350,genomic DNA,401,Ocimum basilicum,452874-1,Lamiaceae,Ocimum,basilicum,,Ocimum basilicum,SPECIES,Accepted
KP218941.1,Rydingia limbata,483858,genomic DNA,333,Rydingia limbata,77087138-1,Lamiaceae,Rydingia,limbata,,Rydingia limbata,SPECIES,Accepted
KP218942.1,Salvia rosmarinus,39367,genomic DNA,339,Salvia rosmarinus,457138-1,Lamiaceae,Salvia,rosmarinus,,Salvia rosmarinus,SPECIES,Accepted
KP218944.1,Salvia plebeia,424424,genomic DNA,386,Salvia plebeia,456965-1,Lamiaceae,Salvia,plebeia,,Salvia plebeia,SPECIES,Accepted
KP219015.1,Eutrema salsugineum,72664,genomic DNA,404,Eutrema salsugineum,60440808-2,Brassicaceae,Eutrema,salsugineum,,Eutrema salsugineum,SPECIES,Accepted
KP219016.1,Eutrema salsugineum,72664,genomic DNA,404,Eutrema salsugineum,60440808-2,Brassicaceae,Eutrema,salsugineum,,Eutrema salsugineum,SPECIES,Accepted
KP219017.1,Eutrema salsugineum,72664,genomic DNA,404,Eutrema salsugineum,60440808-2,Brassicaceae,Eutrema,salsugineum,,Eutrema salsugineum,SPECIES,Accepted
KP219018.1,Eutrema salsugineum,72664,genomic DNA,405,Eutrema salsugineum,60440808-2,Brassicaceae,Eutrema,salsugineum,,Eutrema salsugineum,SPECIES,Accepted
KP219019.1,Eutrema salsugineum,72664,genomic DNA,405,Eutrema salsugineum,60440808-2,Brassicaceae,Eutrema,salsugineum,,Eutrema salsugineum,SPECIES,Accepted
KP221835.1,Allium castellanense,1578884,genomic DNA,636,Allium castellanense,20005358-1,Amaryllidaceae,Allium,castellanense,,Allium castellanense,SPECIES,Accepted
KP221836.1,Allium pallens,1578890,genomic DNA,638,Allium pallens,77170709-1,Amaryllidaceae,Allium,flavum,flavum,Allium flavum subsp. flavum,SUBSPECIES,Synonym
KP221838.1,Allium oleraceum,467612,genomic DNA,642,Allium oleraceum,528525-1,Amaryllidaceae,Allium,oleraceum,,Allium oleraceum,SPECIES,Accepted
KP221841.1,Allium lehmannii,1578889,genomic DNA,627,Allium lehmannii,528297-1,Amaryllidaceae,Allium,lehmannii,,Allium lehmannii,SPECIES,Accepted
KP221843.1,Allium obtusiflorum,138329,genomic DNA,640,Allium obtusiflorum,77190002-1,Amaryllidaceae,Allium,paniculatum,obtusiflorum,Allium paniculatum subsp. obtusiflorum,SUBSPECIES,Homotypic_Synonym
KP221846.1,Allium savii,1578893,genomic DNA,616,Allium savii,528799-1,Amaryllidaceae,Allium,savii,,Allium savii,SPECIES,Accepted
KP221847.1,Allium agrigentinum,1578883,genomic DNA,611,Allium agrigentinum,20005360-1,Amaryllidaceae,Allium,agrigentinum,,Allium agrigentinum,SPECIES,Accepted
KP223476.1,Passiflora misera,159432,genomic DNA,290,Passiflora misera,321967-2,Passifloraceae,Passiflora,misera,,Passiflora misera,SPECIES,Accepted
KP231544.1,Magnolia lotungensis,86779,genomic DNA,454,Magnolia lotungensis,554764-1,Magnoliaceae,Magnolia,lotungensis,,Magnolia lotungensis,SPECIES,Accepted
KP245108.1,Brachystelma albipilosum,1652552,genomic DNA,469,Brachystelma albipilosum,77167132-1,Apocynaceae,Ceropegia,albipilosa,,Ceropegia albipilosa,SPECIES,Homotypic_Synonym
KP245109.1,Brachystelma alpinum,1652553,genomic DNA,432,Brachystelma alpinum,77167133-1,Apocynaceae,Ceropegia,alpina,,Ceropegia alpina,SPECIES,Homotypic_Synonym
KP245110.1,Brachystelma angustum,1652554,genomic DNA,442,Brachystelma angustum,77167134-1,Apocynaceae,Ceropegia,angustata,,Ceropegia angustata,SPECIES,Homotypic_Synonym
KP245111.1,Brachystelma arnottii,1652651,genomic DNA,447,Brachystelma arnottii,77167136-1,Apocynaceae,Ceropegia,arnottii,,Ceropegia arnottii,SPECIES,Homotypic_Synonym
KP245112.1,Brachystelma australe,1652555,genomic DNA,436,Brachystelma australe,77167137-1,Apocynaceae,Ceropegia,australis,,Ceropegia australis,SPECIES,Homotypic_Synonym
KP245114.1,Brachystelma blepharanthera,1652556,genomic DNA,431,Brachystelma blepharanthera,77167140-1,Apocynaceae,Ceropegia,blepharanthera,,Ceropegia blepharanthera,SPECIES,Homotypic_Synonym
KP245115.1,Brachystelma bourneae,1408197,genomic DNA,471,Brachystelma bourneae,77167070-1,Apocynaceae,Ceropegia,bourneae,,Ceropegia bourneae,SPECIES,Homotypic_Synonym
KP245116.1,Brachystelma bracteolatum,1652557,genomic DNA,411,Brachystelma bracteolatum,77167141-1,Apocynaceae,Ceropegia,bracteolata,,Ceropegia bracteolata,SPECIES,Homotypic_Synonym
KP245117.1,Brachystelma brevipedicellatum,1652558,genomic DNA,447,Brachystelma brevipedicellatum,77167144-1,Apocynaceae,Ceropegia,brevipedicellata,,Ceropegia brevipedicellata,SPECIES,Homotypic_Synonym
KP245118.1,Brachystelma brevitubulatum,1652559,genomic DNA,538,Brachystelma brevitubulatum,95489-1,Apocynaceae,Ceropegia,brevitubulata,,Ceropegia brevitubulata,SPECIES,Homotypic_Synonym
KP245120.1,Brachystelma caffrum,1652561,genomic DNA,375,Brachystelma caffrum,77167149-1,Apocynaceae,Ceropegia,caffra,,Ceropegia caffra,SPECIES,Homotypic_Synonym
KP245121.1,Brachystelma campanulatum,1652562,genomic DNA,426,Brachystelma campanulatum,77167150-1,Apocynaceae,Ceropegia,campanuliformis,,Ceropegia campanuliformis,SPECIES,Homotypic_Synonym
KP245122.1,Brachystelma cathcartense,1652563,genomic DNA,411,Brachystelma cathcartense,77167151-1,Apocynaceae,Ceropegia,cathcartensis,,Ceropegia cathcartensis,SPECIES,Homotypic_Synonym
KP245123.1,Brachystelma caudatum,1652564,genomic DNA,422,Brachystelma caudatum,77167235-1,Apocynaceae,Ceropegia,spathulata,,Ceropegia spathulata,SPECIES,Synonym
KP245124.1,Brachystelma chloranthum,1652565,genomic DNA,427,Brachystelma chloranthum,77167152-1,Apocynaceae,Ceropegia,chlorantha,,Ceropegia chlorantha,SPECIES,Homotypic_Synonym
KP245125.1,Brachystelma chlorozonum,1652566,genomic DNA,427,Brachystelma chlorozonum,77167153-1,Apocynaceae,Ceropegia,chlorozona,,Ceropegia chlorozona,SPECIES,Homotypic_Synonym
KP245126.1,Brachystelma christianeae,156255,genomic DNA,429,Brachystelma christianeae,77167154-1,Apocynaceae,Ceropegia,christianeae,,Ceropegia christianeae,SPECIES,Homotypic_Synonym
KP245127.1,Brachystelma circinatum,1652567,genomic DNA,451,Brachystelma circinatum,77167155-1,Apocynaceae,Ceropegia,circinata,,Ceropegia circinata,SPECIES,Homotypic_Synonym
KP245128.1,Brachystelma circinatum,1652567,genomic DNA,378,Brachystelma circinatum,77167155-1,Apocynaceae,Ceropegia,circinata,,Ceropegia circinata,SPECIES,Homotypic_Synonym
KP245129.1,Brachystelma circinatum,1652567,genomic DNA,433,Brachystelma circinatum,77167155-1,Apocynaceae,Ceropegia,circinata,,Ceropegia circinata,SPECIES,Homotypic_Synonym
KP245130.1,Brachystelma comptum,1652568,genomic DNA,354,Brachystelma comptum,77167128-1,Apocynaceae,Ceropegia,neocompta,,Ceropegia neocompta,SPECIES,Homotypic_Synonym
KP245131.1,Brachystelma cummingii,1652569,genomic DNA,445,Brachystelma cummingii,77167158-1,Apocynaceae,Ceropegia,cummingii,,Ceropegia cummingii,SPECIES,Homotypic_Synonym
KP245132.1,Brachystelma decipiens,1652570,genomic DNA,403,Brachystelma decipiens,77167161-1,Apocynaceae,Ceropegia,decipientiflora,,Ceropegia decipientiflora,SPECIES,Homotypic_Synonym
KP245133.1,Brachystelma delicatum,1652571,genomic DNA,437,Brachystelma delicatum,77167163-1,Apocynaceae,Ceropegia,delicata,,Ceropegia delicata,SPECIES,Homotypic_Synonym
KP245134.1,Brachystelma dinteri,1652572,genomic DNA,448,Brachystelma dinteri,77167140-1,Apocynaceae,Ceropegia,blepharanthera,,Ceropegia blepharanthera,SPECIES,Synonym
KP245135.1,Brachystelma dinteri,1652572,genomic DNA,432,Brachystelma dinteri,77167140-1,Apocynaceae,Ceropegia,blepharanthera,,Ceropegia blepharanthera,SPECIES,Synonym
KP245136.1,Brachystelma discoideum,1652573,genomic DNA,447,Brachystelma discoideum,77167167-1,Apocynaceae,Ceropegia,discoidea,,Ceropegia discoidea,SPECIES,Homotypic_Synonym
KP245137.1,Brachystelma edule,480523,genomic DNA,471,Brachystelma edule,77167072-1,Apocynaceae,Ceropegia,edulissima,,Ceropegia edulissima,SPECIES,Homotypic_Synonym
KP245138.1,Brachystelma elongatum,1652574,genomic DNA,427,Brachystelma elongatum,77167170-1,Apocynaceae,Ceropegia,elongata,,Ceropegia elongata,SPECIES,Homotypic_Synonym
KP245139.1,Ceropegia filifolia,156256,genomic DNA,431,Ceropegia filifolia,77167173-1,Apocynaceae,Ceropegia,filifolia,,Ceropegia filifolia,SPECIES,Accepted
KP245140.1,Brachystelma floribundum,1652575,genomic DNA,438,Brachystelma floribundum,77167168-1,Apocynaceae,Ceropegia,duplicata,,Ceropegia duplicata,SPECIES,Synonym
KP245142.1,Brachystelma gemmeum,1652653,genomic DNA,451,Brachystelma gemmeum,77167177-1,Apocynaceae,Ceropegia,gemmea,,Ceropegia gemmea,SPECIES,Homotypic_Synonym
KP245143.1,Brachystelma gerrardii,1652577,genomic DNA,483,Brachystelma gerrardii,77167125-1,Apocynaceae,Ceropegia,gerrardii,,Ceropegia gerrardii,SPECIES,Homotypic_Synonym
KP245144.1,Brachystelma glabrum,1652578,genomic DNA,490,Brachystelma glabrum,77167074-1,Apocynaceae,Ceropegia,glabra,,Ceropegia glabra,SPECIES,Homotypic_Synonym
KP245145.1,Brachystelma gymnopodum,1652579,genomic DNA,432,Brachystelma gymnopodum,95600-1,Apocynaceae,Ceropegia,gymnopoda,,Ceropegia gymnopoda,SPECIES,Homotypic_Synonym
KP245146.1,Brachystelma huttonii,1652580,genomic DNA,438,Brachystelma huttonii,77167182-1,Apocynaceae,Ceropegia,huttonii,,Ceropegia huttonii,SPECIES,Homotypic_Synonym
KP245147.1,Brachystelma incanum,1652581,genomic DNA,447,Brachystelma incanum,77167183-1,Apocynaceae,Ceropegia,incana,,Ceropegia incana,SPECIES,Homotypic_Synonym
KP245148.1,Brachystelma keniense,1652582,genomic DNA,453,Brachystelma keniense,77167186-1,Apocynaceae,Ceropegia,kenyana,,Ceropegia kenyana,SPECIES,Homotypic_Synonym
KP245149.1,Brachystelma kituloense,1652583,genomic DNA,439,Brachystelma kituloense,77167188-1,Apocynaceae,Ceropegia,kituloana,,Ceropegia kituloana,SPECIES,Homotypic_Synonym
KP245150.1,Brachystelma kolarense,1652654,genomic DNA,472,Brachystelma kolarense,77167077-1,Apocynaceae,Ceropegia,kolarensis,,Ceropegia kolarensis,SPECIES,Homotypic_Synonym
KP245151.1,Brachystelma lineare,1652584,genomic DNA,429,Brachystelma lineare,77185985-1,Apocynaceae,Ceropegia,elliptica,,Ceropegia elliptica,SPECIES,Synonym
KP245152.1,Brachystelma luteum,379210,genomic DNA,439,Brachystelma luteum,77167192-1,Apocynaceae,Ceropegia,luteiflora,,Ceropegia luteiflora,SPECIES,Homotypic_Synonym
KP245153.1,Brachystelma macropetalum,156235,genomic DNA,448,Brachystelma macropetalum,77167127-1,Apocynaceae,Ceropegia,macropetala,,Ceropegia macropetala,SPECIES,Homotypic_Synonym
KP245154.1,Brachystelma mafekingense,1652585,genomic DNA,432,Brachystelma mafekingense,95661-1,Apocynaceae,Ceropegia,mafekingensis,,Ceropegia mafekingensis,SPECIES,Homotypic_Synonym
KP245156.1,Brachystelma meyerianum,1652655,genomic DNA,424,Brachystelma meyerianum,77167195-1,Apocynaceae,Ceropegia,meyeriana,,Ceropegia meyeriana,SPECIES,Homotypic_Synonym
KP245157.1,Brachystelma minimum,1652587,genomic DNA,333,Brachystelma minimum,77167200-1,Apocynaceae,Ceropegia,minima,,Ceropegia minima,SPECIES,Homotypic_Synonym
KP245159.1,Brachystelma modestum,1652589,genomic DNA,406,Brachystelma modestum,77167203-1,Apocynaceae,Ceropegia,modestantha,,Ceropegia modestantha,SPECIES,Homotypic_Synonym
KP245160.1,Brachystelma nanum,156236,genomic DNA,442,Brachystelma nanum,77167209-1,Apocynaceae,Ceropegia,nanior,,Ceropegia nanior,SPECIES,Homotypic_Synonym
KP245161.1,Brachystelma ngomense,1652590,genomic DNA,433,Brachystelma ngomense,77167212-1,Apocynaceae,Ceropegia,ngomensis,,Ceropegia ngomensis,SPECIES,Homotypic_Synonym
KP245162.1,Brachystelma nutans,1652591,genomic DNA,448,Brachystelma nutans,77167213-1,Apocynaceae,Ceropegia,nutans,,Ceropegia nutans,SPECIES,Homotypic_Synonym
KP245163.1,Brachystelma oianthum,1652592,genomic DNA,432,Brachystelma oianthum,77167215-1,Apocynaceae,Ceropegia,oiantha,,Ceropegia oiantha,SPECIES,Homotypic_Synonym
KP245165.1,Brachystelma perditum,1652594,genomic DNA,432,Brachystelma perditum,77167218-1,Apocynaceae,Ceropegia,perdita,,Ceropegia perdita,SPECIES,Homotypic_Synonym
KP245166.1,Brachystelma plocamoides,1652595,genomic DNA,448,Brachystelma plocamoides,77167220-1,Apocynaceae,Ceropegia,plocamoides,,Ceropegia plocamoides,SPECIES,Homotypic_Synonym
KP245168.1,Brachystelma pruinosum,1652597,genomic DNA,447,Brachystelma pruinosum,77167223-1,Apocynaceae,Ceropegia,pruinosior,,Ceropegia pruinosior,SPECIES,Homotypic_Synonym
KP245169.1,Brachystelma pulchellum,1652598,genomic DNA,434,Brachystelma pulchellum,77167224-1,Apocynaceae,Ceropegia,pulchellior,,Ceropegia pulchellior,SPECIES,Homotypic_Synonym
KP245170.1,Brachystelma pygmaeum subsp. flavidum,156261,genomic DNA,406,Brachystelma pygmaeum subsp. flavidum,77167143-1,Apocynaceae,Ceropegia,breviflora,flavida,Ceropegia breviflora subsp. flavida,SUBSPECIES,Homotypic_Synonym
KP245171.1,Brachystelma recurvatum,1652599,genomic DNA,467,Brachystelma recurvatum,77167226-1,Apocynaceae,Ceropegia,recurviloba,,Ceropegia recurviloba,SPECIES,Homotypic_Synonym
KP245172.1,Brachystelma rubellum,156257,genomic DNA,419,Brachystelma rubellum,77167228-1,Apocynaceae,Ceropegia,rubella,,Ceropegia rubella,SPECIES,Homotypic_Synonym
KP245174.1,Brachystelma swazicum,1652656,genomic DNA,363,Brachystelma swazicum,77167238-1,Apocynaceae,Ceropegia,swazica,,Ceropegia swazica,SPECIES,Homotypic_Synonym
KP245175.1,Brachystelma tavalla,1652600,genomic DNA,447,Brachystelma tavalla,77167240-1,Apocynaceae,Ceropegia,tavalla,,Ceropegia tavalla,SPECIES,Homotypic_Synonym
KP245176.1,Brachystelma tenue,1652601,genomic DNA,427,Brachystelma tenue,77167242-1,Apocynaceae,Ceropegia,tenuior,,Ceropegia tenuior,SPECIES,Homotypic_Synonym
KP245178.1,Brachystelma theronii,1652603,genomic DNA,334,Brachystelma theronii,77167243-1,Apocynaceae,Ceropegia,theronii,,Ceropegia theronii,SPECIES,Homotypic_Synonym
KP245180.1,Brachystelma vahrmeijeri,1652657,genomic DNA,447,Brachystelma vahrmeijeri,77167159-1,Apocynaceae,Ceropegia,cupulata,,Ceropegia cupulata,SPECIES,Synonym
KP245181.1,Ceropegia affinis,1652605,genomic DNA,445,Ceropegia affinis,95433-1,Apocynaceae,Ceropegia,affinis,,Ceropegia affinis,SPECIES,Accepted
KP245182.1,Ceropegia africana subsp. africana,1652659,genomic DNA,417,Ceropegia africana subsp. africana,77172633-1,Apocynaceae,Ceropegia,africana,africana,Ceropegia africana subsp. africana,SUBSPECIES,Accepted
KP245183.1,Ceropegia ampliata,1652606,genomic DNA,412,Ceropegia ampliata,95438-1,Apocynaceae,Ceropegia,ampliata,,Ceropegia ampliata,SPECIES,Accepted
KP245184.1,Ceropegia arabica,424969,genomic DNA,456,Ceropegia arabica,95450-1,Apocynaceae,Ceropegia,arabica,,Ceropegia arabica,SPECIES,Accepted
KP245185.1,Ceropegia arenaria,1652607,genomic DNA,413,Ceropegia arenaria,95452-1,Apocynaceae,Ceropegia,arenaria,,Ceropegia arenaria,SPECIES,Accepted
KP245186.1,Ceropegia attenuata,480531,genomic DNA,520,Ceropegia attenuata,95460-1,Apocynaceae,Ceropegia,attenuata,,Ceropegia attenuata,SPECIES,Accepted
KP245187.1,Ceropegia ballyana,206222,genomic DNA,340,Ceropegia ballyana,95463-1,Apocynaceae,Ceropegia,ballyana,,Ceropegia ballyana,SPECIES,Accepted
KP245188.1,Ceropegia barbata,1652608,genomic DNA,464,Ceropegia barbata,95464-1,Apocynaceae,Ceropegia,barbata,,Ceropegia barbata,SPECIES,Accepted
KP245189.1,Ceropegia barbigera,1652609,genomic DNA,434,Ceropegia barbigera,20000214-1,Apocynaceae,Ceropegia,arabica,powysii,Ceropegia arabica var. powysii,VARIETY,Synonym
KP245190.1,Ceropegia botrys,1652610,genomic DNA,432,Ceropegia botrys,95804-1,Apocynaceae,Ceropegia,subaphylla,,Ceropegia subaphylla,SPECIES,Synonym
KP245191.1,Ceropegia bowkeri,1652611,genomic DNA,431,Ceropegia bowkeri,95484-1,Apocynaceae,Ceropegia,bowkeri,,Ceropegia bowkeri,SPECIES,Accepted
KP245192.1,Ceropegia bulbosa,197248,genomic DNA,414,Ceropegia bulbosa,95492-1,Apocynaceae,Ceropegia,bulbosa,,Ceropegia bulbosa,SPECIES,Accepted
KP245194.1,Ceropegia ciliata,1652613,genomic DNA,391,Ceropegia ciliata,95514-1,Apocynaceae,Ceropegia,ciliata,,Ceropegia ciliata,SPECIES,Accepted
KP245195.1,Ceropegia cimiciodora,797410,genomic DNA,423,Ceropegia cimiciodora,95515-1,Apocynaceae,Ceropegia,cimiciodora,,Ceropegia cimiciodora,SPECIES,Accepted
KP245196.1,Ceropegia claviloba,1652614,genomic DNA,291,Ceropegia claviloba,95516-1,Apocynaceae,Ceropegia,claviloba,,Ceropegia claviloba,SPECIES,Accepted
KP245197.1,Ceropegia crassifolia,424971,genomic DNA,442,Ceropegia crassifolia,95485-1,Apocynaceae,Ceropegia,brachyceras,,Ceropegia brachyceras,SPECIES,Synonym
KP245198.1,Ceropegia cycniflora,1652615,genomic DNA,371,Ceropegia cycniflora,95534-1,Apocynaceae,Ceropegia,cycniflora,,Ceropegia cycniflora,SPECIES,Accepted
KP245199.1,Ceropegia decaisneana,1652616,genomic DNA,620,Ceropegia decaisneana,95542-1,Apocynaceae,Ceropegia,decaisneana,,Ceropegia decaisneana,SPECIES,Accepted
KP245200.1,Ceropegia dichotoma,424975,genomic DNA,446,Ceropegia dichotoma,95551-1,Apocynaceae,Ceropegia,dichotoma,,Ceropegia dichotoma,SPECIES,Accepted
KP245201.1,Ceropegia dinteri,1652617,genomic DNA,424,Ceropegia dinteri,95554-1,Apocynaceae,Ceropegia,dinteri,,Ceropegia dinteri,SPECIES,Accepted
KP245202.1,Ceropegia distincta,197249,genomic DNA,319,Ceropegia distincta,95556-1,Apocynaceae,Ceropegia,distincta,,Ceropegia distincta,SPECIES,Accepted
KP245203.1,Ceropegia euryacme,1652618,genomic DNA,345,Ceropegia euryacme,60457886-2,Apocynaceae,Ceropegia,linearis,woodii,Ceropegia linearis subsp. woodii,SUBSPECIES,Synonym
KP245204.1,Ceropegia fantastica,480535,genomic DNA,486,Ceropegia fantastica,95573-1,Apocynaceae,Ceropegia,fantastica,,Ceropegia fantastica,SPECIES,Accepted
KP245206.1,Ceropegia fimbriata,1652619,genomic DNA,378,Ceropegia fimbriata,95579-1,Apocynaceae,Ceropegia,fimbriata,,Ceropegia fimbriata,SPECIES,Accepted
KP245207.1,Ceropegia fimbriifera,1652660,genomic DNA,434,Ceropegia fimbriifera,95580-1,Apocynaceae,Ceropegia,fimbriifera,,Ceropegia fimbriifera,SPECIES,Accepted
KP245208.1,Ceropegia foliosa,424977,genomic DNA,396,Ceropegia foliosa,936721-1,Apocynaceae,Ceropegia,foliosa,,Ceropegia foliosa,SPECIES,Accepted
KP245209.1,Ceropegia fusiformis,1652620,genomic DNA,328,Ceropegia fusiformis,95586-1,Apocynaceae,Ceropegia,fusiformis,,Ceropegia fusiformis,SPECIES,Accepted
KP245210.1,Ceropegia hirsuta,480536,genomic DNA,450,Ceropegia hirsuta,95608-1,Apocynaceae,Ceropegia,hirsuta,,Ceropegia hirsuta,SPECIES,Accepted
KP245211.1,Ceropegia huberi,480537,genomic DNA,513,Ceropegia huberi,95615-1,Apocynaceae,Ceropegia,huberi,,Ceropegia huberi,SPECIES,Accepted
KP245212.1,Ceropegia intermedia,424980,genomic DNA,519,Ceropegia intermedia,95625-1,Apocynaceae,Ceropegia,intermedia,,Ceropegia intermedia,SPECIES,Accepted
KP245213.1,Ceropegia kituloensis,1652621,genomic DNA,426,Ceropegia kituloensis,1015429-1,Apocynaceae,Ceropegia,kituloensis,,Ceropegia kituloensis,SPECIES,Accepted
KP245214.1,Ceropegia leptophylla,1652622,genomic DNA,416,Ceropegia leptophylla,70028730-1,Apocynaceae,Ceropegia,leptophylla,,Ceropegia leptophylla,SPECIES,Accepted
KP245215.1,Ceropegia leroyi,1652623,genomic DNA,417,Ceropegia leroyi,95643-1,Apocynaceae,Ceropegia,leroyi,,Ceropegia leroyi,SPECIES,Accepted
KP245216.1,Ceropegia linearis,424983,genomic DNA,447,Ceropegia linearis,95645-1,Apocynaceae,Ceropegia,linearis,,Ceropegia linearis,SPECIES,Accepted
KP245217.1,Ceropegia longifolia,424982,genomic DNA,410,Ceropegia longifolia,95648-1,Apocynaceae,Ceropegia,longifolia,,Ceropegia longifolia,SPECIES,Accepted
KP245218.1,Ceropegia lugardiae,1652624,genomic DNA,345,Ceropegia lugardiae,95654-1,Apocynaceae,Ceropegia,lugardiae,,Ceropegia lugardiae,SPECIES,Accepted
KP245219.1,Ceropegia macmasteri,1652625,genomic DNA,432,Ceropegia macmasteri,77073013-1,Apocynaceae,Ceropegia,macmasteri,,Ceropegia macmasteri,SPECIES,Accepted
KP245220.1,Ceropegia media,480541,genomic DNA,422,Ceropegia media,95667-1,Apocynaceae,Ceropegia,media,,Ceropegia media,SPECIES,Accepted
KP245221.1,Ceropegia meyeri,1652626,genomic DNA,291,Ceropegia meyeri,95674-1,Apocynaceae,Ceropegia,meyeri,,Ceropegia meyeri,SPECIES,Accepted
KP245222.1,Ceropegia multiflora subsp. tentaculata,1652662,genomic DNA,352,Ceropegia multiflora subsp. tentaculata,77189234-1,Apocynaceae,Ceropegia,multiflora,tentaculata,Ceropegia multiflora subsp. tentaculata,SUBSPECIES,Accepted
KP245223.1,Ceropegia namaquensis,1652627,genomic DNA,427,Ceropegia namaquensis,70028729-1,Apocynaceae,Ceropegia,namaquensis,,Ceropegia namaquensis,SPECIES,Accepted
KP245224.1,Ceropegia namuliensis,1652628,genomic DNA,290,Ceropegia namuliensis,77066443-1,Apocynaceae,Ceropegia,namuliensis,,Ceropegia namuliensis,SPECIES,Accepted
KP245225.1,Ceropegia nilotica,120811,genomic DNA,347,Ceropegia nilotica,95691-1,Apocynaceae,Ceropegia,nilotica,,Ceropegia nilotica,SPECIES,Accepted
KP245226.1,Ceropegia noorjahaniae,480543,genomic DNA,443,Ceropegia noorjahaniae,95693-1,Apocynaceae,Ceropegia,noorjahaniae,,Ceropegia noorjahaniae,SPECIES,Accepted
KP245227.1,Ceropegia occulta,480544,genomic DNA,410,Ceropegia occulta,95699-1,Apocynaceae,Ceropegia,occulta,,Ceropegia occulta,SPECIES,Accepted
KP245229.1,Ceropegia pachystelma,1652629,genomic DNA,350,Ceropegia pachystelma,95704-1,Apocynaceae,Ceropegia,pachystelma,,Ceropegia pachystelma,SPECIES,Accepted
KP245230.1,Ceropegia pubescens,423484,genomic DNA,394,Ceropegia pubescens,95730-1,Apocynaceae,Ceropegia,pubescens,,Ceropegia pubescens,SPECIES,Accepted
KP245231.1,Ceropegia purpurascens,1652630,genomic DNA,323,Ceropegia purpurascens,95733-1,Apocynaceae,Ceropegia,purpurascens,,Ceropegia purpurascens,SPECIES,Accepted
KP245233.1,Ceropegia racemosa,423485,genomic DNA,435,Ceropegia racemosa,95737-1,Apocynaceae,Ceropegia,racemosa,,Ceropegia racemosa,SPECIES,Accepted
KP245238.1,Ceropegia rupicola,423487,genomic DNA,446,Ceropegia rupicola,95751-1,Apocynaceae,Ceropegia,rupicola,,Ceropegia rupicola,SPECIES,Accepted
KP245239.1,Ceropegia sahyadrica,480549,genomic DNA,494,Ceropegia sahyadrica,95755-1,Apocynaceae,Ceropegia,sahyadrica,,Ceropegia sahyadrica,SPECIES,Accepted
KP245240.1,Ceropegia somalensis,1652633,genomic DNA,461,Ceropegia somalensis,95784-1,Apocynaceae,Ceropegia,somalensis,,Ceropegia somalensis,SPECIES,Accepted
KP245242.1,Ceropegia speciosa,1652634,genomic DNA,340,Ceropegia speciosa,95787-1,Apocynaceae,Ceropegia,speciosa,,Ceropegia speciosa,SPECIES,Accepted
KP245243.1,Ceropegia spiralis,481185,genomic DNA,467,Ceropegia spiralis,95791-1,Apocynaceae,Ceropegia,spiralis,,Ceropegia spiralis,SPECIES,Accepted
KP245244.1,Ceropegia stapeliiformis subsp. serpentina,1652667,genomic DNA,447,Ceropegia stapeliiformis subsp. serpentina,874560-1,Apocynaceae,Ceropegia,stapeliiformis,serpentina,Ceropegia stapeliiformis subsp. serpentina,SUBSPECIES,Accepted
KP245245.1,Ceropegia stenantha,1652635,genomic DNA,331,Ceropegia stenantha,95796-1,Apocynaceae,Ceropegia,stenantha,,Ceropegia stenantha,SPECIES,Accepted
KP245247.1,Ceropegia stenoloba var. stenoloba,1652638,genomic DNA,283,Ceropegia stenoloba var. stenoloba,77172951-1,Apocynaceae,Ceropegia,stenoloba,stenoloba,Ceropegia stenoloba var. stenoloba,VARIETY,Accepted
KP245248.1,Ceropegia succulenta,1652639,genomic DNA,535,Ceropegia succulenta,77189257-1,Apocynaceae,Ceropegia,albisepta,robynsiana,Ceropegia albisepta var. robynsiana,VARIETY,Synonym
KP245249.1,Ceropegia thwaitesii,1652640,genomic DNA,467,Ceropegia thwaitesii,95817-1,Apocynaceae,Ceropegia,thwaitesii,,Ceropegia thwaitesii,SPECIES,Accepted
KP245250.1,Ceropegia turricula,1652641,genomic DNA,430,Ceropegia turricula,95831-1,Apocynaceae,Ceropegia,turricula,,Ceropegia turricula,SPECIES,Accepted
KP245251.1,Ceropegia verruculosa,1652642,genomic DNA,332,Ceropegia verruculosa,95654-1,Apocynaceae,Ceropegia,lugardiae,,Ceropegia lugardiae,SPECIES,Synonym
KP245252.1,Ceropegia bulbosa,197248,genomic DNA,379,Ceropegia bulbosa,95492-1,Apocynaceae,Ceropegia,bulbosa,,Ceropegia bulbosa,SPECIES,Accepted
