Locus,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name,TaxID
NC_042456.1,genomic DNA,154977,Nestegis lanceolata,610505-1,Oleaceae,Nestegis,lanceolata,,False,Nestegis lanceolata,126542
NC_042457.1,genomic DNA,155565,Nestegis sandwicensis,610509-1,Oleaceae,Nestegis,sandwicensis,,False,Nestegis sandwicensis,126543
NC_042458.1,genomic DNA,155037,Notelaea longifolia,610576-1,Oleaceae,Notelaea,longifolia,,False,Notelaea longifolia,126547
NC_042459.1,genomic DNA,155019,Notelaea microcarpa,610577-1,Oleaceae,Notelaea,microcarpa,,False,Notelaea microcarpa,126548
NC_042461.1,genomic DNA,155237,Olea tsoongii,983150-1,Oleaceae,Olea,tsoongii,,False,Olea tsoongii,323693
NC_042462.1,genomic DNA,155365,Osmanthus delavayi,610868-1,Oleaceae,Osmanthus,delavayi,,False,Osmanthus delavayi,424906
NC_042463.1,genomic DNA,155482,Osmanthus yunnanensis,610925-1,Oleaceae,Osmanthus,yunnanensis,,False,Osmanthus yunnanensis,424914
NC_042464.1,genomic DNA,155335,Phillyrea angustifolia,610935-1,Oleaceae,Phillyrea,angustifolia,,False,Phillyrea angustifolia,96521
NC_042465.1,genomic DNA,155300,Phillyrea latifolia,610971-1,Oleaceae,Phillyrea,latifolia,,False,Phillyrea latifolia,126558
NC_042466.1,genomic DNA,155355,Picconia excelsa,611026-1,Oleaceae,Picconia,excelsa,,False,Picconia excelsa,126561
NC_042467.1,genomic DNA,156087,Schrebera alata,611044-1,Oleaceae,Schrebera,alata,,False,Schrebera alata,126566
NC_042468.1,genomic DNA,156822,Syringa tomentella subsp. yunnanensis,60449085-2,Oleaceae,Syringa,tomentella,yunnanensis,False,Syringa tomentella subsp. yunnanensis,126368
NC_042597.1,genomic DNA,142706,Cephalotus follicularis,790476-1,Cephalotaceae,Cephalotus,follicularis,,False,Cephalotus follicularis,3775
NC_042605.1,genomic DNA,152621,Marshallia graminifolia,153640-2,Asteraceae,Marshallia,graminifolia,,False,Marshallia graminifolia,1611546
NC_042606.1,genomic DNA,152661,Marshallia trinervia,153652-2,Asteraceae,Marshallia,trinervia,,False,Marshallia trinervia,1448044
NC_042607.1,genomic DNA,152553,Marshallia obovata,153648-2,Asteraceae,Marshallia,obovata,,False,Marshallia obovata,128741
NC_042608.1,genomic DNA,152677,Marshallia grandiflora,153643-2,Asteraceae,Marshallia,grandiflora,,False,Marshallia grandiflora,1448043
NC_042609.1,genomic DNA,153551,Marshallia ramosa,153651-2,Asteraceae,Marshallia,ramosa,,False,Marshallia ramosa,1611549
NC_042610.1,genomic DNA,152660,Marshallia mohrii,153647-2,Asteraceae,Marshallia,mohrii,,False,Marshallia mohrii,1611548
NC_042611.1,genomic DNA,152760,Marshallia caespitosa,231761-1,Asteraceae,Marshallia,caespitosa,,False,Marshallia caespitosa,41604
NC_042612.1,genomic DNA,152340,Marshallia legrandii,77128550-1,Asteraceae,Marshallia,legrandii,,False,Marshallia legrandii,1611547
NC_042668.1,genomic DNA,162083,Cycas szechuanensis,297042-1,Cycadaceae,Cycas,szechuanensis,,False,Cycas szechuanensis,1115383
NC_042671.1,genomic DNA,139460,Bambusa ventricosa,392561-1,Poaceae,Bambusa,ventricosa,,False,Bambusa ventricosa,323096
NC_042672.1,genomic DNA,138137,Chusquea culeou,316731-2,Poaceae,Chusquea,culeou,,False,Chusquea culeou,323895
NC_042673.1,genomic DNA,134242,Arrhenatherum elatius,389923-1,Poaceae,Arrhenatherum,elatius,,False,Arrhenatherum elatius,52139
NC_042674.1,genomic DNA,153198,Halenia corniculata,60443257-2,Gentianaceae,Halenia,corniculata,,False,Halenia corniculata,148623
NC_042675.1,genomic DNA,152109,Suaeda japonica,167483-1,Amaranthaceae,Suaeda,japonica,,False,Suaeda japonica,90346
NC_042681.1,genomic DNA,155669,Casuarina glauca,52191-3,Casuarinaceae,Casuarina,glauca,,False,Casuarina glauca,3522
NC_042686.1,genomic DNA,148428,Gastrochilus calceolaris,635397-1,Orchidaceae,Gastrochilus,calceolaris,,False,Gastrochilus calceolaris,665586
NC_042688.1,genomic DNA,155640,Sophora tonkinensis,518956-1,Fabaceae,Sophora,tonkinensis,,False,Sophora tonkinensis,714503
NC_042693.1,genomic DNA,148233,Lespedeza floribunda,502457-1,Fabaceae,Lespedeza,floribunda,,False,Lespedeza floribunda,587870
NC_042696.1,genomic DNA,152555,Parasassafras confertiflora,914393-1,Lauraceae,Parasassafras,confertiflora,,False,Parasassafras confertiflorum,128681
NC_042700.1,genomic DNA,153114,Cullen corylifolium,489225-1,Fabaceae,Cullen,corylifolium,,False,Cullen corylifolium,429560
NC_042701.1,genomic DNA,139946,Amelichloa brachychaeta,60443106-2,Poaceae,Amelichloa,brachychaeta,,False,Amelichloa brachychaeta,487927
NC_042702.1,genomic DNA,135887,Ammochloa palaestina,387237-1,Poaceae,Ammochloa,palaestina,,False,Ammochloa palaestina,388691
NC_042703.1,genomic DNA,133798,Castellia tuberculosa,395078-1,Poaceae,Castellia,tuberculosa,,False,Castellia tuberculosa,211935
NC_042704.1,genomic DNA,133982,Desmazeria sicula,397855-1,Poaceae,Desmazeria,sicula,,False,Desmazeria sicula,391966
NC_042705.1,genomic DNA,136278,Dichelachne crinita,398583-1,Poaceae,Dichelachne,crinita,,False,Dichelachne crinita,480614
NC_042706.1,genomic DNA,135642,Kengyilia melanthera,963824-1,Poaceae,Kengyilia,melanthera,,False,Kengyilia melanthera,125241
NC_042707.1,genomic DNA,135362,Poa sp.,30001404-2,Poaceae,Poa,,,False,Poa sp. PI 374046,2703948
NC_042708.1,genomic DNA,136639,Polypogon fugax,418681-1,Poaceae,Polypogon,fugax,,False,Polypogon fugax,497292
NC_042709.1,genomic DNA,136088,Scolochloa festucacea,421150-1,Poaceae,Scolochloa,festucacea,,False,Scolochloa festucacea,375857
NC_042710.1,genomic DNA,136539,Triplachne nitens,424914-1,Poaceae,Triplachne,nitens,,False,Triplachne nitens,366488
NC_042711.1,genomic DNA,135784,Ventenata macra,426313-1,Poaceae,Ventenata,macra,,False,Gaudinopsis macra,376115
NC_042713.1,genomic DNA,173245,Vaccinium oldhamii,859067-1,Ericaceae,Vaccinium,oldhamii,,False,Vaccinium oldhamii,190543
NC_042714.1,genomic DNA,173381,Stellera chamaejasme,832760-1,Thymelaeaceae,Stellera,chamaejasme,,False,Stellera chamaejasme,142738
NC_042715.1,genomic DNA,155405,Rubus coreanus,736034-1,Rosaceae,Rubus,coreanus,,False,Rubus coreanus,321593
NC_042718.1,genomic DNA,160325,Kandelia obovata,70028704-1,Rhizophoraceae,Kandelia,obovata,,False,Kandelia obovata,413952
NC_042719.1,genomic DNA,158311,Laguncularia racemosa,170672-1,Combretaceae,Laguncularia,racemosa,,False,Laguncularia racemosa,190524
NC_042720.1,genomic DNA,163330,Hydnocarpus hainanensis,365623-1,Achariaceae,Hydnocarpus,hainanensis,,False,Hydnocarpus hainanensis,593753
NC_042724.1,genomic DNA,152708,Arctium lappa,178385-1,Asteraceae,Arctium,lappa,,False,Arctium lappa,4217
NC_042725.1,genomic DNA,151097,Crossostephium chinense,200598-1,Asteraceae,Crossostephium,chinense,,False,Crossostephium chinense,99046
NC_042726.1,genomic DNA,154804,Allium monanthum,528433-1,Amaryllidaceae,Allium,monanthum,,False,Allium monanthum,138327
NC_042735.1,genomic DNA,141244,Tripidium ravennae,77075505-1,Poaceae,Tripidium,ravennae,,False,Tripidium ravennae,65978
NC_042739.1,genomic DNA,156313,Heptacodium miconioides,148517-1,Caprifoliaceae,Heptacodium,miconioides,,False,Heptacodium miconioides,137004
NC_042740.1,genomic DNA,159266,Dillenia indica,316684-1,Dilleniaceae,Dillenia,indica,,False,Dillenia indica,4378
NC_042743.1,genomic DNA,154767,Idiospermum australiense,434684-1,Calycanthaceae,Idiospermum,australiense,,False,Idiospermum australiense,13573
NC_042744.1,genomic DNA,153252,Chimonanthus praecox,139248-1,Calycanthaceae,Chimonanthus,praecox,,False,Chimonanthus praecox,13419
NC_042745.1,genomic DNA,153250,Chimonanthus nitens,139245-1,Calycanthaceae,Chimonanthus,nitens,,False,Chimonanthus nitens,300218
NC_042746.1,genomic DNA,158257,Cornus officinalis,271629-1,Cornaceae,Cornus,officinalis,,False,Cornus officinalis,16906
NC_042747.1,genomic DNA,159362,Pandanus tectorius,895770-1,Pandanaceae,Pandanus,tectorius,,False,Pandanus tectorius,4726
NC_042748.1,genomic DNA,147151,Lespedeza daurica,502437-1,Fabaceae,Lespedeza,daurica,,False,Lespedeza davurica,688281
NC_042751.1,genomic DNA,140382,Eriochrysis pallida,402082-1,Poaceae,Eriochrysis,pallida,,False,Eriochrysis pallida,1564044
NC_042760.1,genomic DNA,160381,Vincetoxicum insigne,77190242-1,Apocynaceae,Vincetoxicum,insigne,,False,Vincetoxicum insigne,1165872
NC_042763.1,genomic DNA,127602,Juniperus recurva,262325-1,Cupressaceae,Juniperus,recurva,,False,Juniperus recurva,650144
NC_042766.1,genomic DNA,154225,Buddleja colvilei,545718-1,Scrophulariaceae,Buddleja,colvilei,,False,Buddleja colvilei,168491
NC_042767.1,genomic DNA,154202,Buddleja sessiliflora,545883-1,Scrophulariaceae,Buddleja,sessiliflora,,False,Buddleja sessilifolia,2567862
NC_042775.1,genomic DNA,121799,Abies fargesii,261522-1,Pinaceae,Abies,fargesii,,False,Abies fargesii,97167
NC_042776.1,genomic DNA,121290,Abies kawakamii,676581-1,Pinaceae,Abies,kawakamii,,False,Abies kawakamii,342582
NC_042777.1,genomic DNA,120057,Abies fanjingshanensis,903410-1,Pinaceae,Abies,fanjingshanensis,,False,Abies fanjingshanensis,745662
NC_042778.1,genomic DNA,121574,Abies balsamea,1084057-2,Pinaceae,Abies,balsamea,,False,Abies balsamea,90345
NC_042782.1,genomic DNA,155019,Forestiera angustifolia,608846-1,Oleaceae,Forestiera,angustifolia,,False,Forestiera angustifolia,389174
NC_042783.1,genomic DNA,154936,Forestiera ligustrina,608862-1,Oleaceae,Forestiera,ligustrina,,False,Forestiera ligustrina,1539464
NC_042784.1,genomic DNA,154987,Forestiera phillyreoides,608867-1,Oleaceae,Forestiera,phillyreoides,,False,Forestiera phillyreoides,2491097
NC_042785.1,genomic DNA,155029,Forestiera segregata,105319-2,Oleaceae,Forestiera,segregata,,False,Forestiera segregata,126416
NC_042786.1,genomic DNA,155812,Chionanthus panamensis,56624-2,Oleaceae,Chionanthus,panamensis,,False,Chionanthus panamensis,1125365
NC_042787.1,genomic DNA,151089,Opisthopappus taihangensis,235535-1,Asteraceae,Opisthopappus,taihangensis,,False,Opisthopappus taihangensis,463594
NC_042788.1,genomic DNA,119876,Pinus elliottii,262921-1,Pinaceae,Pinus,elliottii,,False,Pinus elliottii,42064
NC_042789.1,genomic DNA,140642,Sorghum propinquum,422187-1,Poaceae,Sorghum,propinquum,,False,Sorghum propinquum,132711
NC_042790.1,genomic DNA,140755,Sorghum × drummondii,1058910-2,Poaceae,Sorghum,drummondii,,False,Sorghum sudanense,1428164
NC_042793.1,genomic DNA,159532,Clematis brachyura,709541-1,Ranunculaceae,Clematis,brachyura,,False,Clematis brachyura,231643
NC_042796.1,genomic DNA,152461,Pogostemon cablin,454827-1,Lamiaceae,Pogostemon,cablin,,False,Pogostemon cablin,28511
NC_042798.1,genomic DNA,152255,Alternanthera philoxeroides,1024156-2,Amaranthaceae,Alternanthera,philoxeroides,,False,Alternanthera philoxeroides,381410
NC_042819.1,genomic DNA,164475,Rhizophora stylosa,719845-1,Rhizophoraceae,Rhizophora,stylosa,,False,Rhizophora stylosa,98588
NC_042825.1,genomic DNA,119004,Geosiris australiensis,77164635-1,Iridaceae,Geosiris,australiensis,,False,Geosiris australiensis,2576058
NC_042826.1,genomic DNA,142485,Angelica sinensis,77065778-1,Apiaceae,Angelica,sinensis,,False,Angelica sinensis,165353
NC_042827.1,genomic DNA,153084,Iris missouriensis,438880-1,Iridaceae,Iris,missouriensis,,False,Iris missouriensis,207932
NC_042830.1,genomic DNA,134935,Tragus australianus,424404-1,Poaceae,Tragus,australianus,,False,Tragus australianus,751716
NC_042831.1,genomic DNA,134850,Eriachne tenuiculmis,401864-1,Poaceae,Eriachne,tenuiculmis,,False,Eriachne tenuiculmis,2528937
NC_042832.1,genomic DNA,134928,Eragrostis setifolia,401568-1,Poaceae,Eragrostis,setifolia,,False,Eragrostis setifolia,2528930
NC_042833.1,genomic DNA,130773,Eragrostis tenellula,401625-1,Poaceae,Eragrostis,tenellula,,False,Eragrostis tenellula,2528931
NC_042834.1,genomic DNA,132690,Enteropogon ramosus,904121-1,Poaceae,Enteropogon,ramosus,,False,Enteropogon ramosus,751642
NC_042835.1,genomic DNA,134579,Triraphis mollis,425034-1,Poaceae,Triraphis,mollis,,False,Triraphis mollis,751736
NC_042836.1,genomic DNA,137353,Aristida pruinosa,389695-1,Poaceae,Aristida,pruinosa,,False,Aristida pruinosa,1137531
NC_042837.1,genomic DNA,133231,Enneapogon caerulescens,400622-1,Poaceae,Enneapogon,caerulescens,,False,Enneapogon caerulescens,2528922
NC_042838.1,genomic DNA,135050,Dactyloctenium radulans,397416-1,Poaceae,Dactyloctenium,radulans,,False,Dactyloctenium radulans,160545
NC_042839.1,genomic DNA,135801,Astrebla lappacea,391053-1,Poaceae,Astrebla,lappacea,,False,Astrebla lappacea,66004
NC_042840.1,genomic DNA,133837,Tripogonella loliiformis,77160937-1,Poaceae,Tripogonella,loliiformis,,False,Tripogonella loliiformis,883148
NC_042841.1,genomic DNA,125330,Medicago sativa,30234961-2,Fabaceae,Medicago,sativa,,False,Medicago sativa,3879
NC_042842.1,genomic DNA,126021,Medicago cretacea,506136-1,Fabaceae,Medicago,cretacea,,False,Medicago cretacea,66812
NC_042843.1,genomic DNA,126394,Medicago suffruticosa,506442-1,Fabaceae,Medicago,suffruticosa,,False,Medicago suffruticosa,66818
NC_042844.1,genomic DNA,126778,Medicago tetraprostrata,77161420-1,Fabaceae,Medicago,tetraprostrata,,False,Medicago tetraprostrata,2576623
NC_042845.1,genomic DNA,124182,Medicago marina,506275-1,Fabaceae,Medicago,marina,,False,Medicago marina,66815
NC_042846.1,genomic DNA,123712,Medicago pironae,506343-1,Fabaceae,Medicago,pironae,,False,Medicago pironae,66816
NC_042847.1,genomic DNA,122770,Medicago lupulina,506268-1,Fabaceae,Medicago,lupulina,,False,Medicago lupulina,47085
NC_042848.1,genomic DNA,124066,Medicago polymorpha,60465997-2,Fabaceae,Medicago,polymorpha,,False,Medicago polymorpha,47084
NC_042849.1,genomic DNA,132296,Medicago minima,77089103-1,Fabaceae,Medicago,minima,,False,Medicago minima,70957
NC_042850.1,genomic DNA,125015,Medicago orbicularis,506322-1,Fabaceae,Medicago,orbicularis,,False,Medicago orbicularis,70962
NC_042851.1,genomic DNA,125621,Medicago intertexta,506235-1,Fabaceae,Medicago,intertexta,,False,Medicago intertexta,70950
NC_042852.1,genomic DNA,123387,Medicago × blancheana,506083-1,Fabaceae,Medicago,blancheana,,False,Medicago blancheana,70938
NC_042853.1,genomic DNA,123500,Medicago laciniata,506247-1,Fabaceae,Medicago,laciniata,,False,Medicago laciniata,70952
NC_042854.1,genomic DNA,124564,Medicago radiata,506382-1,Fabaceae,Medicago,radiata,,False,Medicago radiata,70968
NC_042855.1,genomic DNA,121313,Medicago monspeliaca,506295-1,Fabaceae,Medicago,monspeliaca,,False,Medicago monspeliaca,70959
NC_042856.1,genomic DNA,124273,Medicago arborea,506064-1,Fabaceae,Medicago,arborea,,False,Medicago arborea,66807
NC_042857.1,genomic DNA,125645,Trigonella foenum-graecum,523957-1,Fabaceae,Trigonella,foenum-graecum,,False,Trigonella foenum-graecum,78534
NC_042858.1,genomic DNA,135518,Aeluropus lagopoides,384722-1,Poaceae,Aeluropus,lagopoides,,False,Aeluropus lagopoides,293749
NC_042859.1,genomic DNA,133953,Orinus kokonorica,409957-1,Poaceae,Orinus,kokonorica,,False,Orinus kokonoricus,751589
NC_042860.1,genomic DNA,135278,Triodia basedowii,424806-1,Poaceae,Triodia,basedowii,,False,Triodia basedowii,751723
NC_042861.1,genomic DNA,135284,Triodia chichesterensis,77172569-1,Poaceae,Triodia,chichesterensis,,False,Triodia chichesterensis,2576611
NC_042862.1,genomic DNA,135218,Triodia concinna,424820-1,Poaceae,Triodia,concinna,,False,Triodia concinna,1697080
NC_042863.1,genomic DNA,135251,Triodia glabra,77172570-1,Poaceae,Triodia,glabra,,False,Triodia glabra,1844069
NC_042864.1,genomic DNA,134425,Triodia longiceps,424862-1,Poaceae,Triodia,longiceps,,False,Triodia longiceps,1245681
NC_042865.1,genomic DNA,135261,Triodia mallota,77172572-1,Poaceae,Triodia,mallota,,False,Triodia mallota,1914353
NC_042866.1,genomic DNA,135386,Triodia plurinervata,424884-1,Poaceae,Triodia,plurinervata,,False,Triodia plurinervata,1697098
NC_042867.1,genomic DNA,135657,Triodia rigidissima,997130-1,Poaceae,Triodia,rigidissima,,False,Triodia rigidissima,751732
NC_042868.1,genomic DNA,135375,Triodia tomentosa,960898-1,Poaceae,Triodia,tomentosa,,False,Triodia tomentosa,1245684
NC_042869.1,genomic DNA,135318,Triodia vanleeuwenii,77172575-1,Poaceae,Triodia,vanleeuwenii,,False,Triodia vanleeuwenii,1844070
NC_042870.1,genomic DNA,135016,Triodia schinzii,997132-1,Poaceae,Triodia,schinzii,,False,Triodia schinzii,1245682
NC_042871.1,genomic DNA,135301,Triodia scintillans,77172574-1,Poaceae,Triodia,scintillans,,False,Triodia scintillans,1844071
NC_042872.1,genomic DNA,135453,Triodia lanigera,424857-1,Poaceae,Triodia,lanigera,,False,Triodia lanigera,1245680
NC_042874.1,genomic DNA,169989,Musa ornata,584973-1,Musaceae,Musa,ornata,,False,Musa ornata,160690
NC_042884.1,genomic DNA,161412,Antiaris toxicaria,850341-1,Moraceae,Antiaris,toxicaria,,False,Antiaris toxicaria,241857
NC_042885.1,genomic DNA,162929,Pterospermum kingtungense,824771-1,Malvaceae,Pterospermum,kingtungense,,False,Pterospermum kingtungense,1686260
NC_042886.1,genomic DNA,159550,Curcuma longa,796451-1,Zingiberaceae,Curcuma,longa,,False,Curcuma longa,136217
NC_042888.1,genomic DNA,157753,Rotala rotundifolia,554223-1,Lythraceae,Rotala,rotundifolia,,False,Rotala rotundifolia,163010
NC_042889.1,genomic DNA,152153,Lagerstroemia limii,553586-1,Lythraceae,Lagerstroemia,limii,,False,Lagerstroemia limii,1692140
NC_042891.1,genomic DNA,158483,Lythrum salicaria,147990-2,Lythraceae,Lythrum,salicaria,,False,Lythrum salicaria,13129
NC_042892.1,genomic DNA,152521,Lagerstroemia venusta,553630-1,Lythraceae,Lagerstroemia,venusta,,False,Lagerstroemia venusta,2576877
NC_042893.1,genomic DNA,152294,Lagerstroemia tomentosa,553626-1,Lythraceae,Lagerstroemia,tomentosa,,False,Lagerstroemia tomentosa,141187
NC_042894.1,genomic DNA,160763,Lagerstroemia villosa,553631-1,Lythraceae,Lagerstroemia,villosa,,False,Lagerstroemia villosa,162025
NC_042895.1,genomic DNA,155553,Trapa natans,614405-1,Lythraceae,Trapa,natans,,False,Trapa natans,22666
NC_042896.1,genomic DNA,152214,Lagerstroemia excelsa,912743-1,Lythraceae,Lagerstroemia,excelsa,,False,Lagerstroemia excelsa,2291130
NC_042897.1,genomic DNA,152294,Lagerstroemia calyculata,553540-1,Lythraceae,Lagerstroemia,calyculata,,False,Lagerstroemia calyculata,2576875
NC_042898.1,genomic DNA,159380,Woodfordia fruticosa,554290-1,Lythraceae,Woodfordia,fruticosa,,False,Woodfordia fruticosa,141189
NC_042899.1,genomic DNA,156084,Duabanga grandiflora,553409-1,Lythraceae,Duabanga,grandiflora,,False,Duabanga grandiflora,122808
NC_042903.1,genomic DNA,155262,Amphilophium gnaphalanthum,77141955-1,Bignoniaceae,Amphilophium,gnaphalanthum,,False,Amphilophium gnaphalanthum,2358325
NC_042906.1,genomic DNA,157085,Glochidion chodoense,979113-1,Phyllanthaceae,Glochidion,chodoense,,False,Glochidion chodoense,2583285
NC_042912.1,genomic DNA,147246,Semenovia gyirongensis,77163815-1,Apiaceae,Semenovia,gyirongensis,,False,Semenovia gyirongensis,2583372
NC_042914.1,genomic DNA,156951,Amphilophium chocoense,77141948-1,Bignoniaceae,Amphilophium,chocoense,,False,Amphilophium chocoense,2358323
NC_042915.1,genomic DNA,157070,Amphilophium cuneifolium,77141950-1,Bignoniaceae,Amphilophium,cuneifolium,,False,Amphilophium cuneifolium,2358324
NC_042916.1,genomic DNA,163693,Amphilophium dusenianum,77141952-1,Bignoniaceae,Amphilophium,dusenianum,,False,Amphilophium dusenianum,2358313
NC_042917.1,genomic DNA,163543,Amphilophium ecuadorense,11580-2,Bignoniaceae,Amphilophium,ecuadorense,,False,Amphilophium ecuadorense,2358314
NC_042918.1,genomic DNA,163710,Amphilophium paniculatum,108202-1,Bignoniaceae,Amphilophium,paniculatum,,False,Amphilophium paniculatum,353927
NC_042919.1,genomic DNA,163689,Amphilophium pilosum,11591-2,Bignoniaceae,Amphilophium,pilosum,,False,Amphilophium pilosum,2358320
NC_042920.1,genomic DNA,168172,Anemopaegma prostratum,108291-1,Bignoniaceae,Anemopaegma,prostratum,,False,Anemopaegma prostratum,2358327
NC_042921.1,genomic DNA,163237,Mimosa pudica,313242-2,Fabaceae,Mimosa,pudica,,False,Mimosa pudica,76306
NC_042923.1,genomic DNA,155330,Heuchera richardsonii,791398-1,Saxifragaceae,Heuchera,richardsonii,,False,Heuchera richardsonii,423499
NC_042924.1,genomic DNA,155361,Heuchera villosa,30062001-2,Saxifragaceae,Heuchera,villosa,,False,Heuchera villosa,423500
NC_042925.1,genomic DNA,155445,Mitella diphylla,791948-1,Saxifragaceae,Mitella,diphylla,,False,Mitella diphylla,40796
NC_042926.1,genomic DNA,154407,Mitella formosana,791952-1,Saxifragaceae,Mitella,formosana,,False,Mitella formosana,242209
NC_042927.1,genomic DNA,155368,Tiarella cordifolia,30175905-2,Saxifragaceae,Tiarella,cordifolia,,False,Tiarella cordifolia,369350
NC_042928.1,genomic DNA,154902,Tiarella polyphylla,794898-1,Saxifragaceae,Tiarella,polyphylla,,False,Tiarella polyphylla,61222
NC_042929.1,genomic DNA,155390,Tiarella trifoliata,794902-1,Saxifragaceae,Tiarella,trifoliata,,False,Tiarella trifoliata,40788
NC_042931.1,genomic DNA,155942,Amphilophium lactiflorum,77100448-1,Bignoniaceae,Amphilophium,lactiflorum,,False,Amphilophium lactiflorum,2358316
NC_042932.1,genomic DNA,163755,Amphilophium dolichoides,77141951-1,Bignoniaceae,Amphilophium,dolichoides,,False,Amphilophium dolichoides,2358312
NC_042933.1,genomic DNA,163515,Amphilophium carolinae,77141947-1,Bignoniaceae,Amphilophium,carolinae,,False,Amphilophium carolinae,545665
NC_042934.1,genomic DNA,164749,Amphilophium steyermarkii,77100455-1,Bignoniaceae,Amphilophium,steyermarkii,,False,Amphilophium steyermarkii,2358322
NC_042935.1,genomic DNA,160589,Ipomoea asarifolia,268434-1,Convolvulaceae,Ipomoea,asarifolia,,False,Ipomoea asarifolia,89639
NC_042936.1,genomic DNA,160819,Ipomoea carnea,30299665-2,Convolvulaceae,Ipomoea,carnea,,False,Ipomoea carnea,89640
NC_042937.1,genomic DNA,161563,Ipomoea cavalcantei,129227-2,Convolvulaceae,Ipomoea,cavalcantei,,False,Ipomoea cavalcantei,2029529
NC_042938.1,genomic DNA,160414,Ipomoea goyazensis,268942-1,Convolvulaceae,Ipomoea,goyazensis,,False,Ipomoea goyazensis,2575953
NC_042939.1,genomic DNA,161324,Ipomoea marabensis,278834-2,Convolvulaceae,Ipomoea,marabensis,,False,Ipomoea marabensis,2029530
NC_042940.1,genomic DNA,161242,Ipomoea maurandioides,269291-1,Convolvulaceae,Ipomoea,maurandioides,,False,Ipomoea maurandioides,2575954
NC_042941.1,genomic DNA,160836,Ipomoea quamoclit,326361-2,Convolvulaceae,Ipomoea,quamoclit,,False,Ipomoea quamoclit,89660
NC_042942.1,genomic DNA,160082,Ipomoea setifera,269793-1,Convolvulaceae,Ipomoea,setifera,,False,Ipomoea setifera,2029531
NC_042944.1,genomic DNA,152345,Aster hersileoides,181395-1,Asteraceae,Aster,hersileoides,,False,Aster hersileoides,1196480
NC_042948.1,genomic DNA,60959,Cuscuta erosa,72829-2,Convolvulaceae,Cuscuta,erosa,,False,Cuscuta erosa,437626
NC_042949.1,genomic DNA,62375,Cuscuta boldinghii,72768-2,Convolvulaceae,Cuscuta,boldinghii,,False,Cuscuta boldinghii,437623
NC_042950.1,genomic DNA,169944,Daphne tangutica,831368-1,Thymelaeaceae,Daphne,tangutica,,False,Daphne tangutica,885948
NC_042954.1,genomic DNA,155344,Brandisia swinglei,799877-1,Orobanchaceae,Brandisia,swinglei,,False,Brandisia swinglei,1501482
NC_042955.1,genomic DNA,153621,Wightia speciosissima,812915-1,Paulowniaceae,Wightia,speciosissima,,False,Wightia speciosissima,1501477
NC_042956.1,genomic DNA,86691,Cuscuta costaricensis,294967-2,Convolvulaceae,Cuscuta,costaricensis,,False,Cuscuta costaricensis,437255
NC_043774.1,genomic DNA,178261,Thalassia hemprichii,431946-1,Hydrocharitaceae,Thalassia,hemprichii,,False,Thalassia hemprichii,55496
NC_043775.1,genomic DNA,63787,Cuscuta strobilacea,329911-2,Convolvulaceae,Cuscuta,strobilacea,,False,Cuscuta strobilacea,437305
NC_043791.1,genomic DNA,165364,Adenia mannii,674125-1,Passifloraceae,Adenia,mannii,,False,Adenia mannii,340634
NC_043792.1,genomic DNA,155732,Microlicia cogniauxiana,77153903-1,Melastomataceae,Microlicia,cogniauxiana,,False,Microlicia cogniauxiana,2559492
NC_043793.1,genomic DNA,161626,Callisthene erythroclada,870826-1,Vochysiaceae,Callisthene,erythroclada,,False,Callisthene erythroclada,2559493
NC_043794.1,genomic DNA,160687,Erisma bracteosum,95993-2,Vochysiaceae,Erisma,bracteosum,,False,Erisma bracteosum,2559494
NC_043795.1,genomic DNA,156835,Galphimia angustifolia,556338-1,Malpighiaceae,Galphimia,angustifolia,,False,Galphimia angustifolia,1561780
NC_043796.1,genomic DNA,130809,Porlieria angustifolia,873356-1,Zygophyllaceae,Porlieria,angustifolia,,False,Guaiacum angustifolium,228647
NC_043797.1,genomic DNA,159218,Heimia apetala,60453412-2,Lythraceae,Heimia,apetala,,False,Heimia apetala,1053376
NC_043798.1,genomic DNA,161149,Korupodendron songweanum,20006583-1,Vochysiaceae,Korupodendron,songweanum,,False,Korupodendron songweanum,2559495
NC_043799.1,genomic DNA,159859,Heteropyxis natalensis,553494-1,Myrtaceae,Heteropyxis,natalensis,,False,Heteropyxis natalensis,40015
NC_043800.1,genomic DNA,172606,Krameria bicolor,279238-2,Krameriaceae,Krameria,bicolor,,False,Krameria bicolor,2042419
NC_043802.1,genomic DNA,152112,Oxalis drummondii,374872-1,Oxalidaceae,Oxalis,drummondii,,False,Oxalis drummondii,1087073
NC_043803.1,genomic DNA,163026,Qualea grandiflora,870934-1,Vochysiaceae,Qualea,grandiflora,,False,Qualea grandiflora,178107
NC_043804.1,genomic DNA,162345,Ruizterania albiflora,224361-2,Vochysiaceae,Ruizterania,albiflora,,False,Ruizterania albiflora,376213
NC_043805.1,genomic DNA,155211,Penaea sarcocolla,676097-1,Penaeaceae,Penaea,sarcocolla,,False,Saltera sarcocolla,216165
NC_043806.1,genomic DNA,171267,Salvertia convallariodora,871008-1,Vochysiaceae,Salvertia,convallariodora,,False,Salvertia convallariodora,260119
NC_043807.1,genomic DNA,159750,Terminalia guyanensis,171148-1,Combretaceae,Terminalia,guyanensis,,False,Terminalia guyanensis,597418
